Date,"90A Fourth Ave, Mount Lawley, Perth, WA, Australia"
1/08/2029,1162578.663
1/09/2029,1165812.141
1/10/2029,1168945.07
1/11/2029,1172186.312
1/12/2029,1175326.753
1/01/2030,1178575.754
1/02/2030,1181828.698
1/03/2030,1184770.227
1/04/2030,1188030.669
1/05/2030,1191189.685
1/06/2030,1194457.876
1/07/2030,1197624.388
1/08/2030,1200900.323
1/09/2030,1204180.19
1/10/2030,1207358
1/11/2030,1210645.605
1/12/2030,1213830.9
1/01/2031,1217126.237
1/02/2031,1220425.502
1/03/2031,1223408.858
1/04/2031,1226715.595
1/05/2031,1229919.4
1/06/2031,1233233.858
1/07/2031,1236445.133
1/08/2031,1239767.308
1/09/2031,1243093.402
1/10/2031,1246315.935
1/11/2031,1249649.74
1/12/2031,1252879.731
1/01/2032,1256221.241
1/02/2032,1259566.666
1/03/2032,1262699.799
1/04/2032,1266052.796
1/05/2032,1269301.355
1/06/2032,1272662.046
1/07/2032,1275918.05
1/08/2032,1279286.431
1/09/2032,1282658.719
1/10/2032,1285925.941
1/11/2032,1289305.912
1/12/2032,1292580.568
1/01/2033,1295968.218
1/02/2033,1299359.769
1/03/2033,1302426.457
1/04/2033,1305825.429
1/05/2033,1309118.468
1/06/2033,1312525.108
1/07/2033,1315825.566
1/08/2033,1319239.87
1/09/2033,1322658.067
1/10/2033,1325969.706
1/11/2033,1329395.561
1/12/2033,1332714.608
1/01/2034,1336148.116
1/02/2034,1339585.512
1/03/2034,1342693.597
1/04/2034,1346138.389
1/05/2034,1349475.757
1/06/2034,1352928.192
1/07/2034,1356272.954
1/08/2034,1359733.027
1/09/2034,1363196.981
1/10/2034,1366552.887
1/11/2034,1370024.473
1/12/2034,1373387.763
1/01/2035,1376866.976
1/02/2035,1380350.065
1/03/2035,1383499.41
1/04/2035,1386989.87
1/05/2035,1390371.421
1/06/2035,1393869.499
1/07/2035,1397258.42
1/08/2035,1400764.111
1/09/2035,1404273.67
1/10/2035,1407673.698
1/11/2035,1411190.864
1/12/2035,1414598.253
1/01/2036,1418123.022
1/02/2036,1421651.653
1/03/2036,1424956.127
1/04/2036,1428492.231
1/05/2036,1431917.941
1/06/2036,1435461.638
1/07/2036,1438894.695
1/08/2036,1442445.981
1/09/2036,1446001.122
1/10/2036,1449445.25
1/11/2036,1453007.974
1/12/2036,1456459.438
1/01/2037,1460029.741
1/02/2037,1463603.893
1/03/2037,1466835.468
1/04/2037,1470416.945
1/05/2037,1473886.553
1/06/2037,1477475.599
1/07/2037,1480952.529
1/08/2037,1484549.14
1/09/2037,1488149.593
1/10/2037,1491637.561
1/11/2037,1495245.573
1/12/2037,1498740.854
1/01/2038,1502356.421
1/02/2038,1505975.826
1/03/2038,1509248.264
1/04/2038,1512874.97
1/05/2038,1516388.337
1/06/2038,1520022.589
1/07/2038,1523543.256
1/08/2038,1527185.049
1/09/2038,1530830.672
1/10/2038,1534362.342
1/11/2038,1538015.501
1/12/2038,1541554.461
1/01/2039,1545215.152
1/02/2039,1548879.668
1/03/2039,1552192.842
1/04/2039,1555864.637
1/05/2039,1559421.628
1/06/2039,1563100.945
1/07/2039,1566665.213
1/08/2039,1570352.048
1/09/2039,1574042.703
1/10/2039,1577617.939
1/11/2039,1581316.106
1/12/2039,1584898.611
1/01/2040,1588604.286
